inn,year,region,okved,PL_revenue,PL_net_profit,B_assets,B_total_equity,B_shortterm_liab,CF_balance_operating,age,eligible,filed,outlier,B_cash_equivalents,B_longterm_debt,PL_cost_of_sales,PL_profit_from_sales,PL_before_tax,CF_balance
5535001002,2023,omsk,85.42.10,11008.0,1052.0,11155.0,9805.0,1350.0,,30.0,1.0,1.0,0.0,2551.0,,-8584.0,1844.0,1414.0,0.0
1001230827,2023,karelia,93.11,3519.0,392.0,1988.0,10.0,30.0,,13.0,1.0,1.0,0.0,88.0,1948.0,-3051.0,468.0,468.0,
3808140332,2023,irkutsk,61.10,92392.0,14647.0,40103.0,24327.0,15776.0,9658.0,17.0,1.0,1.0,0.0,2764.0,,-58951.0,18378.0,17888.0,-2030.0
7727749317,2023,moscow city,49.32,,,,,,,12.0,1.0,0.0,0.0,,,,,,
3907028194,2023,kaliningrad,71.11.10,15649.0,5091.0,16898.0,2909.0,13989.0,,22.0,1.0,1.0,0.0,4295.0,,-10272.0,5377.0,5409.0,
4501177430,2023,kurgan,94.99,,0.0,0.0,0.0,,35.0,10.0,1.0,1.0,0.0,,,,,0.0,35.0
9200009328,2023,sevastopol,46.74,35786.0,6615.0,18584.0,11926.0,6658.0,,1.0,1.0,1.0,0.0,1005.0,,-28275.0,7511.0,7425.0,
7727496786,2023,moscow city,46.73,,,,,,,1.0,1.0,0.0,0.0,,,,,,
5906121797,2023,perm,71.12.70,6482.0,2629.0,2865.0,1692.0,1173.0,,10.0,1.0,1.0,0.0,101.0,0.0,-3607.0,2875.0,2869.0,
9729288954,2023,moscow city,73.11,,,,,,,4.0,1.0,0.0,0.0,,,,,,
2311047125,2023,krasnodar,22.23,1797550.0,23616.0,1747500.0,742286.0,293431.0,894698.0,26.0,1.0,1.0,0.0,2133.0,686872.0,-1606959.0,103231.0,33859.0,558830.0
6952323542,2023,tver,41.20,4426.0,1483.0,1708.0,1542.0,166.0,,1.0,1.0,1.0,0.0,1708.0,,-2718.0,1708.0,1708.0,
7723485913,2023,moscow city,93.11,3492.0,-140.0,1449.0,93.0,1356.0,,7.0,1.0,1.0,0.0,373.0,0.0,-4740.0,-1248.0,-93.0,
7805614510,2023,sankt-petersburg,75,,-7839.0,14086.0,-7599.0,8181.0,,10.0,1.0,1.0,0.0,543.0,13504.0,-7730.0,-7730.0,-7758.0,
1435192250,2023,yakutia,41.20,6771.0,-8002.0,20764.0,1574.0,17277.0,,16.0,1.0,1.0,0.0,929.0,1914.0,-14620.0,-7849.0,-7870.0,
6501140803,2023,sakhalin,01.13.10,,,0.0,,,,43.0,1.0,1.0,0.0,,,,,,0.0
6230104781,2023,ryazan,46.73,,,,,,,6.0,1.0,0.0,0.0,,,,,,
3906339380,2023,kaliningrad,47.25.10,289843.0,927.0,78090.0,42703.0,24727.0,,9.0,1.0,1.0,0.0,4164.0,10660.0,-284363.0,5480.0,1367.0,
