inn,year,region,okved,PL_revenue,PL_net_profit,B_assets,B_total_equity,B_shortterm_liab,age,eligible,filed,outlier,B_current_assets,B_cash_equivalents,PL_cost_of_sales,PL_profit_from_sales,PL_before_tax
7453339789,2022,chelyabinsk,46.69.90,1101.0,162.0,200.0,183.0,17.0,1.0,1.0,1.0,0.0,200.0,23.0,-883.0,218.0,202.0
7300008395,2022,ulyanovsk,49.41,455.0,0.0,49056.0,10.0,1545.0,0.0,1.0,1.0,0.0,267.0,20.0,-452.0,3.0,2.0
6154157193,2022,rostov,28.21.10,150838.0,12004.0,10927.0,7071.0,3856.0,2.0,1.0,1.0,0.0,10927.0,390.0,-137308.0,13530.0,13382.0
7022013648,2022,tomsk,75,233.0,-249.0,1319.0,1291.0,28.0,17.0,1.0,1.0,0.0,1319.0,0.0,-465.0,-232.0,-249.0
7727838623,2022,moscow city,77.40,163296.0,62630.0,117714.0,43000.0,52448.0,8.0,1.0,1.0,0.0,90764.0,8059.0,-95141.0,68155.0,67518.0
7604104654,2022,yaroslavl,33.12,0.0,0.0,82.0,19.0,63.0,15.0,1.0,1.0,0.0,82.0,241.0,0.0,263.0,0.0
7203298882,2022,tyumen,46.69.10,31825.0,248.0,3558.0,1796.0,1762.0,9.0,1.0,1.0,0.0,3224.0,474.0,-31421.0,404.0,327.0
5262352513,2022,nizhni novgorod,68.10,8629.0,-3106.0,21663.0,-7687.0,1909.0,5.0,1.0,1.0,0.0,226.0,67.0,-2985.0,-2985.0,-3106.0
7720871741,2022,moscow city,95.11,4164.0,7.0,546.0,82.0,464.0,0.0,1.0,1.0,0.0,546.0,17.0,-4149.0,15.0,9.0
7743207953,2022,moscow city,33.12,12635.0,531.0,1660.0,1306.0,354.0,5.0,1.0,1.0,0.0,1660.0,2.0,-11907.0,728.0,664.0
8609019348,2022,khanty-mansijsk,85.42.10,5556.0,-2743.0,1779.0,-5774.0,7553.0,6.0,1.0,1.0,0.0,986.0,201.0,-6565.0,-1009.0,-2701.0
9724082685,2022,moscow city,43.29,26046.0,283.0,98.0,30.0,68.0,0.0,1.0,1.0,0.0,98.0,241.0,-25343.0,703.0,351.0
2312306929,2022,krasnodar,86.90,115.0,-904.0,420.0,-894.0,1314.0,1.0,1.0,1.0,0.0,284.0,33.0,-996.0,-881.0,-901.0
7609026664,2022,yaroslavl,08.12,8629.0,-10.0,289.0,19.0,270.0,10.0,1.0,1.0,0.0,289.0,76.0,-6422.0,263.0,-10.0
1686000980,2022,tatarstan,46.36.20,71487.0,6445.0,10310.0,6824.0,3486.0,1.0,1.0,1.0,0.0,10310.0,0.0,-64110.0,7377.0,7161.0
7801266100,2022,sankt-petersburg,36.00.10,41486.0,-7209.0,8805.0,8037.0,768.0,18.0,1.0,1.0,0.0,8538.0,7641.0,-34326.0,7160.0,6084.0
4725483095,2022,leningrad,43.12.30,59112.0,3779.0,40742.0,1210.0,37806.0,10.0,1.0,1.0,0.0,10982.0,49.0,-81941.0,-28220.0,4743.0
2221233720,2022,altai terr.,46.73,2782.0,-944.0,10296.0,4314.0,5982.0,5.0,1.0,1.0,0.0,10296.0,96.0,-3652.0,-870.0,-926.0
2373009761,2022,krasnodar,94.11,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7731315577,2022,moscow city,43.22,68272.0,81.0,28077.0,91.0,27986.0,6.0,1.0,1.0,0.0,28077.0,441.0,-63263.0,5009.0,101.0
5074058149,2022,moscow reg.,46.73,9040.0,41.0,3635.0,50.0,3585.0,5.0,1.0,1.0,0.0,3635.0,337.0,-8943.0,97.0,51.0
6143096365,2022,rostov,47.52.73,1373.0,116.0,1633.0,416.0,13.0,4.0,1.0,1.0,0.0,1633.0,110.0,-1238.0,135.0,130.0
6685175842,2022,sverdlovsk,69.20,343.0,67.0,10.0,10.0,1909.0,2.0,1.0,1.0,0.0,10.0,241.0,-271.0,72.0,72.0
5834057839,2022,penza,46.90,5448.0,-173.0,153.0,-413.0,566.0,9.0,1.0,1.0,0.0,153.0,0.0,-5234.0,-234.0,-173.0
5032294458,2022,moscow reg.,68.20,84469.0,-51953.0,835002.0,201485.0,633517.0,4.0,1.0,1.0,0.0,831919.0,3637.0,-76062.0,-29445.0,-51610.0
1832129569,2022,udmurtia,77.32,1306.0,-347.0,5417.0,-1203.0,351.0,7.0,1.0,1.0,0.0,3616.0,6.0,-1592.0,-286.0,-280.0
3665073639,2022,voronezh,47.52.70,87033.0,18.0,18062.0,7179.0,9221.0,13.0,1.0,1.0,0.0,15435.0,701.0,-54382.0,1063.0,870.0
6623090821,2022,sverdlovsk,71.12.10,783.0,129.0,382.0,382.0,0.0,10.0,1.0,1.0,0.0,382.0,382.0,-654.0,129.0,129.0
7719049784,2022,moscow city,68.32.10,8629.0,65.0,2454.0,984.0,2453.0,27.0,1.0,1.0,0.0,2454.0,2272.0,-6422.0,263.0,65.0
5009054507,2022,moscow reg.,49.31,139334.0,40099.0,45555.0,534.0,35244.0,16.0,1.0,1.0,0.0,45278.0,909.0,-125599.0,13735.0,41593.0
9721163368,2022,moscow city,43.29,8293.0,126.0,1537.0,176.0,1361.0,0.0,1.0,1.0,0.0,1537.0,241.0,-8126.0,167.0,157.0
7220005631,2022,tyumen,68.32.10,19008.0,3971.0,6396.0,3890.0,2506.0,8.0,1.0,1.0,0.0,6396.0,501.0,-7092.0,4803.0,4131.0
5030035754,2022,moscow reg.,28.92,20683.0,146.0,6544.0,2232.0,4313.0,23.0,1.0,1.0,0.0,6521.0,2678.0,-19846.0,837.0,374.0
